Driver.code,Q1_time,Q2_time,Q3_time,air_temp_mid,avg_lap_time,avg_tyre_life,constructor,driver,driverId,finishing_position,grid_position,humidity_mid,lapTime_best_sec,lapTime_mean_sec,lapTime_std_sec,laps_count,laps_total,num_pit_stops,pit_avg_duration_sec,pit_first_lap,pit_last_lap,pit_min_duration_sec,pit_stop_count,pit_total_duration_sec,points,qualiPosition,race_name,rainfall_mid,round,season,track_temp_mid,weather_airTemp_max,weather_airTemp_mean,weather_airTemp_min,weather_hours,weather_humidity_mean,weather_precip_total,weather_pressure_mean,weather_wind_mean,year,session_type,made_Q2,made_Q3,eliminated_in_Q1,eliminated_in_Q2,eliminated_in_Q3,qualifying_round_reached,pitted,multi_stop,one_stop
NOR,1:32.239,1:32.008,,23.2,101.62845,19.0,McLaren,NOR,norris,15.0,13.0,37,101.459,103.4648,3.714386383,5.0,5.0,3,25.63666667,24.0,45.0,24.568,3.0,76.91,0,13.0,Bahrain Grand Prix,False,1,2022,27.9,28.6,20.59166667,14.7,24.0,45.95833333,0.0,1012.404167,16.5125,2022,race,True,False,False,True,False,2,True,True,False
OCO,1:32.041,1:31.782,,23.2,101.989019,14.25,Alpine,OCO,ocon,7.0,11.0,37,100.111,101.4442,2.645332059,5.0,5.0,3,26.70333333,14.0,43.0,24.233,3.0,80.11,6,11.0,Bahrain Grand Prix,False,1,2022,27.9,28.6,20.59166667,14.7,24.0,45.95833333,0.0,1012.404167,16.5125,2022,race,True,False,False,True,False,2,True,True,False
PER,1:32.311,1:31.008,1:30.921,23.2,102.17098,19.0,Red Bull Racing,PER,perez,18.0,4.0,37,98.741,99.832,1.788960872,5.0,5.0,3,24.722,15.0,43.0,24.173,3.0,74.166,0,4.0,Bahrain Grand Prix,False,1,2022,27.9,28.6,20.59166667,14.7,24.0,45.95833333,0.0,1012.404167,16.5125,2022,race,True,True,False,False,True,3,True,True,False
RIC,1:32.945,,,23.2,101.92449,14.25,McLaren,RIC,ricciardo,14.0,18.0,37,101.711,103.9046,4.316979534,5.0,5.0,3,24.97966667,17.0,44.0,24.885,3.0,74.939,0,18.0,Bahrain Grand Prix,False,1,2022,27.9,28.6,20.59166667,14.7,24.0,45.95833333,0.0,1012.404167,16.5125,2022,race,False,False,True,False,False,1,True,True,False
RUS,1:32.269,1:31.252,1:32.216,23.2,101.143588,14.25,Mercedes,RUS,russell,4.0,9.0,37,99.041,100.3354,1.763978826,5.0,5.0,3,25.59866667,15.0,45.0,25.334,3.0,76.796,12,9.0,Bahrain Grand Prix,False,1,2022,27.9,28.6,20.59166667,14.7,24.0,45.95833333,0.0,1012.404167,16.5125,2022,race,True,True,False,False,True,3,True,True,False
SAI,1:31.567,1:30.787,1:30.687,23.2,101.871078,19.0,Ferrari,SAI,sainz,2.0,3.0,37,98.649,99.3456,0.9445331122,5.0,5.0,3,24.46366667,14.0,44.0,24.287,3.0,73.391,18,3.0,Bahrain Grand Prix,False,1,2022,27.9,28.6,20.59166667,14.7,24.0,45.95833333,0.0,1012.404167,16.5125,2022,race,True,True,False,False,True,3,True,True,False
STR,1:33.032,,,23.2,101.291235,19.0,Aston Martin,STR,stroll,12.0,19.0,37,100.887,103.1982,4.072021022,5.0,5.0,3,25.91166667,18.0,45.0,25.039,3.0,77.735,0,19.0,Bahrain Grand Prix,False,1,2022,27.9,28.6,20.59166667,14.7,24.0,45.95833333,0.0,1012.404167,16.5125,2022,race,False,False,True,False,False,1,True,True,False
TSU,1:32.750,,,23.2,101.514529,19.0,AlphaTauri,TSU,tsunoda,8.0,16.0,37,100.363,102.1528,3.346972916,5.0,5.0,3,24.87766667,15.0,44.0,24.188,3.0,74.633,4,16.0,Bahrain Grand Prix,False,1,2022,27.9,28.6,20.59166667,14.7,24.0,45.95833333,0.0,1012.404167,16.5125,2022,race,False,False,True,False,False,1,True,True,False
VER,1:31.785,1:30.757,1:30.681,23.2,101.44726,18.0,Red Bull Racing,VER,max_verstappen,19.0,2.0,37,97.88,98.7832,0.8893844501,5.0,5.0,4,24.74533333,14.0,43.0,24.402,3.0,74.236,0,2.0,Bahrain Grand Prix,False,1,2022,27.9,28.6,20.59166667,14.7,24.0,45.95833333,0.0,1012.404167,16.5125,2022,race,True,True,False,False,True,3,True,True,False
ZHO,1:32.493,1:33.543,,23.2,101.013823,19.0,Alfa Romeo,ZHO,zhou,10.0,15.0,37,100.183,102.9506,4.743773003,5.0,5.0,3,26.45533333,15.0,45.0,25.291,3.0,79.366,1,15.0,Bahrain Grand Prix,False,1,2022,27.9,28.6,20.59166667,14.7,24.0,45.95833333,0.0,1012.404167,16.5125,2022,race,True,False,False,True,False,2,True,True,False
ALB,1:30.492,,,25.5,101.863909,24.0,Williams,ALB,albon,14.0,16.0,61,97.86,99.8838,2.926149466,5.0,5.0,1,20.683,13.0,13.0,20.683,1.0,20.683,0,17.0,Saudi Arabian Grand Prix,False,2,2022,28.3,31.3,25.43333333,19.8,24.0,53.66666667,0.0,1012.775,18.56666667,2022,race,False,False,True,False,False,1,True,False,True
ALO,1:29.978,1:29.295,1:29.147,25.5,97.797806,18.0,Alpine,ALO,alonso,16.0,7.0,61,96.083,97.27516667,2.094607497,6.0,6.0,1,21.543,16.0,16.0,21.543,1.0,21.543,0,7.0,Saudi Arabian Grand Prix,False,2,2022,28.3,31.3,25.43333333,19.8,24.0,53.66666667,0.0,1012.775,18.56666667,2022,race,True,True,False,False,True,3,True,False,True
BOT,1:29.683,1:29.404,1:29.183,25.5,96.209655,12.0,Alfa Romeo,BOT,bottas,15.0,8.0,61,95.993,97.649,2.26973646,6.0,6.0,3,22.6355,16.0,35.0,22.561,2.0,45.271,0,8.0,Saudi Arabian Grand Prix,False,2,2022,28.3,31.3,25.43333333,19.8,24.0,53.66666667,0.0,1012.775,18.56666667,2022,race,True,True,False,False,True,3,True,True,False
GAS,1:29.891,1:29.418,1:29.254,25.5,99.301434,25.0,AlphaTauri,GAS,gasly,8.0,9.0,61,96.819,98.40583333,2.434540073,6.0,6.0,1,22.82,15.0,15.0,22.82,1.0,22.82,4,9.0,Saudi Arabian Grand Prix,False,2,2022,28.3,31.3,25.43333333,19.8,24.0,53.66666667,0.0,1012.775,18.56666667,2022,race,True,True,False,False,True,3,True,False,True
HAM,1:30.343,,,25.5,99.596956,25.0,Mercedes,HAM,hamilton,10.0,15.0,61,97.618,99.349,3.067236378,5.0,5.0,1,21.788,40.0,40.0,21.788,1.0,21.788,1,16.0,Saudi Arabian Grand Prix,False,2,2022,28.3,31.3,25.43333333,19.8,24.0,53.66666667,0.0,1012.775,18.56666667,2022,race,False,False,True,False,False,1,True,False,True
HUL,1:30.543,,,25.5,98.767888,25.0,Aston Martin,HUL,hulkenberg,12.0,17.0,61,98.064,99.9526,3.289390567,5.0,5.0,1,21.425,37.0,37.0,21.425,1.0,21.425,0,18.0,Saudi Arabian Grand Prix,False,2,2022,28.3,31.3,25.43333333,19.8,24.0,53.66666667,0.0,1012.775,18.56666667,2022,race,False,False,True,False,False,1,True,False,True
LAT,1:31.817,,,25.5,98.876142,15.0,Williams,LAT,latifi,18.0,18.0,61,98.121,100.322,3.497643349,5.0,5.0,0,,,,,0.0,,0,19.0,Saudi Arabian Grand Prix,False,2,2022,28.3,31.3,25.43333333,19.8,24.0,53.66666667,0.0,1012.775,18.56666667,2022,race,False,False,True,False,False,1,False,False,False
LEC,1:29.039,1:28.780,1:28.225,25.5,96.665695,25.0,Ferrari,LEC,leclerc,2.0,2.0,61,94.585,95.20283333,0.946249738,6.0,6.0,1,21.038,16.0,16.0,21.038,1.0,21.038,19,2.0,Saudi Arabian Grand Prix,False,2,2022,28.3,31.3,25.43333333,19.8,24.0,53.66666667,0.0,1012.775,18.56666667,2022,race,True,True,False,False,True,3,True,False,True
MAG,1:29.831,1:29.546,1:29.588,25.5,99.203934,25.0,Haas F1 Team,MAG,kevin_magnussen,9.0,10.0,61,96.83,97.94733333,2.344974428,6.0,6.0,1,22.374,37.0,37.0,22.374,1.0,22.374,2,10.0,Saudi Arabian Grand Prix,False,2,2022,28.3,31.3,25.43333333,19.8,24.0,53.66666667,0.0,1012.775,18.56666667,2022,race,True,True,False,False,True,3,True,False,True
MSC,1:30.167,1:29.920,,25.5,96.969765,19.0,Haas F1 Team,MSC,mick_schumacher,,,61,97.2945,108.31030000000001,11.3650572635,,,0,,,,,0.0,,0,14.0,Saudi Arabian Grand Prix,False,2,2022,28.3,31.3,25.43333333,19.8,24.0,53.66666667,0.0,1012.775,18.56666667,2022,race,True,False,False,True,False,2,False,False,False
NOR,1:29.957,1:29.651,,25.5,98.577673,25.0,McLaren,NOR,norris,7.0,11.0,61,97.08,99.0162,2.466196302,5.0,5.0,1,20.383,16.0,16.0,20.383,1.0,20.383,6,11.0,Saudi Arabian Grand Prix,False,2,2022,28.3,31.3,25.43333333,19.8,24.0,53.66666667,0.0,1012.775,18.56666667,2022,race,True,False,False,True,False,2,True,False,True
OCO,1:30.093,1:29.584,1:29.068,25.5,97.374377,25.0,Alpine,OCO,ocon,6.0,5.0,61,96.156,97.236,1.40941165,6.0,6.0,1,21.141,16.0,16.0,21.141,1.0,21.141,8,5.0,Saudi Arabian Grand Prix,False,2,2022,28.3,31.3,25.43333333,19.8,24.0,53.66666667,0.0,1012.775,18.56666667,2022,race,True,True,False,False,True,3,True,False,True
PER,1:29.705,1:28.924,1:28.200,25.5,96.853422,25.0,Red Bull Racing,PER,perez,4.0,1.0,61,94.44,94.78766667,0.5981714358,6.0,6.0,1,20.481,15.0,15.0,20.481,1.0,20.481,12,1.0,Saudi Arabian Grand Prix,False,2,2022,28.3,31.3,25.43333333,19.8,24.0,53.66666667,0.0,1012.775,18.56666667,2022,race,True,True,False,False,True,3,True,False,True
RIC,1:30.009,1:29.773,,25.5,99.994838,18.0,McLaren,RIC,ricciardo,17.0,14.0,61,97.376,99.2408,2.860858909,5.0,5.0,2,20.65,8.0,8.0,20.65,1.0,20.65,0,12.0,Saudi Arabian Grand Prix,False,2,2022,28.3,31.3,25.43333333,19.8,24.0,53.66666667,0.0,1012.775,18.56666667,2022,race,True,False,False,True,False,2,True,False,True
RUS,1:29.680,1:29.618,1:29.104,25.5,97.725956,25.0,Mercedes,RUS,russell,5.0,6.0,61,96.096,97.01383333,1.6759732,6.0,6.0,1,21.415,16.0,16.0,21.415,1.0,21.415,10,6.0,Saudi Arabian Grand Prix,False,2,2022,28.3,31.3,25.43333333,19.8,24.0,53.66666667,0.0,1012.775,18.56666667,2022,race,True,True,False,False,True,3,True,False,True
SAI,1:28.855,1:28.686,1:28.402,25.5,96.936413,25.0,Ferrari,SAI,sainz,3.0,3.0,61,95.124,95.86733333,1.364248169,6.0,6.0,1,21.521,16.0,16.0,21.521,1.0,21.521,15,3.0,Saudi Arabian Grand Prix,False,2,2022,28.3,31.3,25.43333333,19.8,24.0,53.66666667,0.0,1012.775,18.56666667,2022,race,True,True,False,False,True,3,True,False,True
STR,1:30.256,1:31.009,,25.5,101.146333,24.5,Aston Martin,STR,stroll,13.0,13.0,61,97.575,99.118,2.67484794,5.0,5.0,1,22.339,13.0,13.0,22.339,1.0,22.339,0,15.0,Saudi Arabian Grand Prix,False,2,2022,28.3,31.3,25.43333333,19.8,24.0,53.66666667,0.0,1012.775,18.56666667,2022,race,True,False,False,True,False,2,True,False,True
TSU,,,,25.5,96.559319,25.0,AlphaTauri,TSU,tsunoda,19.0,19.0,61,96.705,98.9242,3.766264555,,,0,,,,,0.0,,0,20.0,Saudi Arabian Grand Prix,False,2,2022,28.3,31.3,25.43333333,19.8,24.0,53.66666667,0.0,1012.775,18.56666667,2022,race,False,False,False,False,False,1,False,False,False
VER,1:28.928,1:28.945,1:28.461,25.5,96.717478,25.0,Red Bull Racing,VER,max_verstappen,1.0,4.0,61,94.7,95.43266667,1.312655883,6.0,6.0,1,20.731,16.0,16.0,20.731,1.0,20.731,25,4.0,Saudi Arabian Grand Prix,False,2,2022,28.3,31.3,25.43333333,19.8,24.0,53.66666667,0.0,1012.775,18.56666667,2022,race,True,True,False,False,True,3,True,False,True
ZHO,1:29.978,1:29.819,,25.5,98.846681,25.0,Alfa Romeo,ZHO,zhou,11.0,12.0,61,97.564,99.759,3.809437688,5.0,5.0,2,24.4185,16.0,27.0,15.103,2.0,48.837,0,13.0,Saudi Arabian Grand Prix,False,2,2022,28.3,31.3,25.43333333,19.8,24.0,53.66666667,0.0,1012.775,18.56666667,2022,race,True,False,False,True,False,2,True,True,False
ALB,1:20.135,,,26.6,92.143339,29.0,Williams,ALB,albon,10.0,20.0,44,89.169,115.1566,20.13370096,5.0,5.0,1,19.845,57.0,57.0,19.845,1.0,19.845,1,16.0,Australian Grand Prix,False,3,2022,36.1,26.5,20.7375,15.6,24.0,65.95833333,1.5,1017.5875,17.51666667,2022,race,False,False,True,False,False,1,True,False,True
ALO,1:19.192,1:18.815,,26.6,91.015153,28.5,Alpine,ALO,alonso,17.0,10.0,44,87.059,113.3274,21.52072207,5.0,5.0,2,18.595,39.0,53.0,18.394,2.0,37.19,0,10.0,Australian Grand Prix,False,3,2022,36.1,26.5,20.7375,15.6,24.0,65.95833333,1.5,1017.5875,17.51666667,2022,race,True,False,False,True,False,2,True,True,False
BOT,1:19.251,1:19.410,,26.6,90.4254,29.0,Alfa Romeo,BOT,bottas,8.0,12.0,44,87.593,113.7204,21.2591413,5.0,5.0,1,18.413,22.0,22.0,18.413,1.0,18.413,4,12.0,Australian Grand Prix,False,3,2022,36.1,26.5,20.7375,15.6,24.0,65.95833333,1.5,1017.5875,17.51666667,2022,race,True,False,False,True,False,2,True,False,True
GAS,1:19.580,1:19.226,,26.6,90.934072,29.0,AlphaTauri,GAS,gasly,9.0,11.0,44,86.622,113.0608,21.83519379,5.0,5.0,1,18.926,21.0,21.0,18.926,1.0,18.926,2,11.0,Australian Grand Prix,False,3,2022,36.1,26.5,20.7375,15.6,24.0,65.95833333,1.5,1017.5875,17.51666667,2022,race,True,False,False,True,False,2,True,False,True
HAM,1:19.401,1:19.106,1:18.825,26.6,89.824109,29.0,Mercedes,HAM,hamilton,4.0,5.0,44,85.455,115.6273333,23.88090428,6.0,6.0,1,17.877,22.0,22.0,17.877,1.0,17.877,12,5.0,Australian Grand Prix,False,3,2022,36.1,26.5,20.7375,15.6,24.0,65.95833333,1.5,1017.5875,17.51666667,2022,race,True,True,False,False,True,3,True,False,True
LAT,1:21.372,,,26.6,91.386528,28.5,Williams,LAT,latifi,16.0,18.0,44,88.794,114.9314,20.44084381,5.0,5.0,2,18.244,13.0,23.0,17.936,2.0,36.488,0,19.0,Australian Grand Prix,False,3,2022,36.1,26.5,20.7375,15.6,24.0,65.95833333,1.5,1017.5875,17.51666667,2022,race,False,False,True,False,False,1,True,True,False
LEC,1:18.881,1:18.606,1:17.868,26.6,88.088481,29.0,Ferrari,LEC,leclerc,1.0,1.0,44,84.746,115.4628333,26.03427735,6.0,6.0,1,17.973,22.0,22.0,17.973,1.0,17.973,26,1.0,Australian Grand Prix,False,3,2022,36.1,26.5,20.7375,15.6,24.0,65.95833333,1.5,1017.5875,17.51666667,2022,race,True,True,False,False,True,3,True,False,True
MAG,1:20.254,,,26.6,90.794629,28.5,Haas F1 Team,MAG,kevin_magnussen,14.0,16.0,44,88.121,114.3044,20.80339123,5.0,5.0,1,19.111,39.0,39.0,19.111,1.0,19.111,0,17.0,Australian Grand Prix,False,3,2022,36.1,26.5,20.7375,15.6,24.0,65.95833333,1.5,1017.5875,17.51666667,2022,race,False,False,True,False,False,1,True,False,True
MSC,1:20.104,1:20.465,,26.6,91.207129,28.5,Haas F1 Team,MSC,mick_schumacher,13.0,15.0,44,87.769,113.9192,21.23600263,5.0,5.0,1,19.039,14.0,14.0,19.039,1.0,19.039,0,15.0,Australian Grand Prix,False,3,2022,36.1,26.5,20.7375,15.6,24.0,65.95833333,1.5,1017.5875,17.51666667,2022,race,True,False,False,True,False,2,True,False,True
NOR,1:19.280,1:19.066,1:18.703,26.6,90.506109,29.0,McLaren,NOR,norris,5.0,4.0,44,85.942,111.705,21.97574404,5.0,5.0,1,17.556,20.0,20.0,17.556,1.0,17.556,10,4.0,Australian Grand Prix,False,3,2022,36.1,26.5,20.7375,15.6,24.0,65.95833333,1.5,1017.5875,17.51666667,2022,race,True,True,False,False,True,3,True,False,True
OCO,1:19.605,1:19.136,1:19.061,26.6,91.718214,29.0,Alpine,OCO,ocon,7.0,8.0,44,86.734,112.582,22.10315332,5.0,5.0,1,19.128,17.0,17.0,19.128,1.0,19.128,6,8.0,Australian Grand Prix,False,3,2022,36.1,26.5,20.7375,15.6,24.0,65.95833333,1.5,1017.5875,17.51666667,2022,race,True,True,False,False,True,3,True,False,True
PER,1:18.834,1:18.340,1:18.240,26.6,89.8146,29.0,Red Bull Racing,PER,perez,2.0,3.0,44,85.29,115.7,23.28816154,6.0,6.0,1,17.434,20.0,20.0,17.434,1.0,17.434,18,3.0,Australian Grand Prix,False,3,2022,36.1,26.5,20.7375,15.6,24.0,65.95833333,1.5,1017.5875,17.51666667,2022,race,True,True,False,False,True,3,True,False,True
RIC,1:19.665,1:19.130,1:19.032,26.6,90.517945,29.0,McLaren,RIC,ricciardo,6.0,7.0,44,86.362,112.247,22.18247337,5.0,5.0,1,18.15,21.0,21.0,18.15,1.0,18.15,8,7.0,Australian Grand Prix,False,3,2022,36.1,26.5,20.7375,15.6,24.0,65.95833333,1.5,1017.5875,17.51666667,2022,race,True,True,False,False,True,3,True,False,True
RUS,1:19.405,1:19.076,1:18.933,26.6,88.832618,29.0,Mercedes,RUS,russell,3.0,6.0,44,85.459,111.2504,22.10136375,5.0,5.0,1,18.479,23.0,23.0,18.479,1.0,18.479,15,6.0,Australian Grand Prix,False,3,2022,36.1,26.5,20.7375,15.6,24.0,65.95833333,1.5,1017.5875,17.51666667,2022,race,True,True,False,False,True,3,True,False,True
SAI,1:18.983,1:18.469,1:19.408,26.6,99.028,2.0,Ferrari,SAI,sainz,20.0,9.0,44,99.028,99.028,23.22752153,1.0,1.0,0,,,,,0.0,,0,9.0,Australian Grand Prix,False,3,2022,36.1,26.5,20.7375,15.6,24.0,65.95833333,1.5,1017.5875,17.51666667,2022,race,True,True,False,False,True,3,False,False,False
STR,,,,26.6,88.033961,19.33333333,Aston Martin,STR,stroll,12.0,19.0,44,88.934,115.466,19.35000743,5.0,5.0,3,19.068,3.0,23.0,18.242,3.0,57.204,0,20.0,Australian Grand Prix,False,3,2022,36.1,26.5,20.7375,15.6,24.0,65.95833333,1.5,1017.5875,17.51666667,2022,race,False,False,False,False,False,1,True,True,False
TSU,1:19.742,1:19.424,,26.6,91.309574,28.5,AlphaTauri,TSU,tsunoda,15.0,13.0,44,87.259,113.5408,21.43661515,5.0,5.0,1,18.443,18.0,18.0,18.443,1.0,18.443,0,13.0,Australian Grand Prix,False,3,2022,36.1,26.5,20.7375,15.6,24.0,65.95833333,1.5,1017.5875,17.51666667,2022,race,True,False,False,True,False,2,True,False,True
VER,1:18.580,1:18.611,1:18.154,26.6,91.372735,19.5,Red Bull Racing,VER,max_verstappen,18.0,2.0,44,84.831,115.5355,25.11491792,6.0,6.0,1,18.281,18.0,18.0,18.281,1.0,18.281,0,2.0,Australian Grand Prix,False,3,2022,36.1,26.5,20.7375,15.6,24.0,65.95833333,1.5,1017.5875,17.51666667,2022,race,True,True,False,False,True,3,True,False,True
VET,1:21.149,,,26.6,94.697454,23.0,Aston Martin,VET,vettel,19.0,17.0,44,88.34,114.6078,20.51525869,5.0,5.0,0,,,,,0.0,,0,18.0,Australian Grand Prix,False,3,2022,36.1,26.5,20.7375,15.6,24.0,65.95833333,1.5,1017.5875,17.51666667,2022,race,False,False,True,False,False,1,False,False,False
ZHO,1:19.910,1:20.155,,26.6,92.06341,29.0,Alfa Romeo,ZHO,zhou,11.0,14.0,44,88.015,114.1378,20.93642469,5.0,5.0,1,18.38,21.0,21.0,18.38,1.0,18.38,0,14.0,Australian Grand Prix,False,3,2022,36.1,26.5,20.7375,15.6,24.0,65.95833333,1.5,1017.5875,17.51666667,2022,race,True,False,False,True,False,2,True,False,True
ALB,,,,13.1,87.737457,31.0,Williams,ALB,albon,11.0,18.0,75,98.485,129.275,18.9359621,5.0,5.0,1,30.793,17.0,17.0,30.793,1.0,30.793,0,20.0,Emilia Romagna Grand Prix,False,4,2022,17.0,15.9,12.91666667,9.1,24.0,75.5,2.4,1005.825,12.1875,2022,race,False,False,False,False,False,1,True,False,True
ALO,1:20.198,1:19.595,1:29.202,13.1,128.9348,6.0,Alpine,ALO,alonso,19.0,9.0,75,99.685,128.9348,18.48146879,5.0,5.0,1,,,,,0.0,,0,5.0,Emilia Romagna Grand Prix,False,4,2022,17.0,15.9,12.91666667,9.1,24.0,75.5,2.4,1005.825,12.1875,2022,race,True,True,False,False,True,3,True,False,False
BOT,1:20.419,1:20.192,1:30.439,13.1,87.678688,31.5,Alfa Romeo,BOT,bottas,5.0,7.0,75,95.786,128.0646,20.36819304,5.0,5.0,1,40.957,18.0,18.0,40.957,1.0,40.957,10,8.0,Emilia Romagna Grand Prix,False,4,2022,17.0,15.9,12.91666667,9.1,24.0,75.5,2.4,1005.825,12.1875,2022,race,True,True,False,False,True,3,True,False,True
GAS,1:20.732,,,13.1,87.734677,31.0,AlphaTauri,GAS,gasly,12.0,17.0,75,98.443,129.1448,19.11584583,5.0,5.0,1,30.405,17.0,17.0,30.405,1.0,30.405,0,17.0,Emilia Romagna Grand Prix,False,4,2022,17.0,15.9,12.91666667,9.1,24.0,75.5,2.4,1005.825,12.1875,2022,race,False,False,True,False,False,1,True,False,True
HAM,1:20.470,1:21.138,,13.1,88.705133,31.0,Mercedes,HAM,hamilton,13.0,14.0,75,98.334,128.9874,18.85069164,5.0,5.0,1,32.74,18.0,18.0,32.74,1.0,32.74,0,13.0,Emilia Romagna Grand Prix,False,4,2022,17.0,15.9,12.91666667,9.1,24.0,75.5,2.4,1005.825,12.1875,2022,race,True,False,False,True,False,2,True,False,True
LAT,1:21.971,,,13.1,87.852406,31.0,Williams,LAT,latifi,16.0,19.0,75,98.466,129.3932,19.22729511,5.0,5.0,1,31.125,18.0,18.0,31.125,1.0,31.125,0,18.0,Emilia Romagna Grand Prix,False,4,2022,17.0,15.9,12.91666667,9.1,24.0,75.5,2.4,1005.825,12.1875,2022,race,False,False,True,False,False,1,True,False,True
LEC,1:18.796,1:19.584,1:28.778,13.1,87.282543,21.0,Ferrari,LEC,leclerc,6.0,2.0,75,91.515,121.3281667,24.6431118,6.0,6.0,3,32.79866667,19.0,53.0,30.042,3.0,98.396,8,2.0,Emilia Romagna Grand Prix,False,4,2022,17.0,15.9,12.91666667,9.1,24.0,75.5,2.4,1005.825,12.1875,2022,race,True,True,False,False,True,3,True,True,False
